itemNumber,price,freightCost/surcharge,eligibility(Promotion Restriction),category,brand,image,minRetailQty,Instock Qty,Shipping_date,date
G2802685,7.95,0.0,YES,"Office, School & Shipping Supplies / Scissors, Cutters & Punchers / Scissors",Westward,Z-G8J0fo5oy.JPG,1,0,1,2024-08-26 11:53:21
G4693351,35.99,0.0,YES,Heating & Cooling / HVAC Parts / Humidifier and Dehumidifier Parts,Fantech,Z_tLwvmcd59PIpHv.JPG,1,0,1,2024-08-26 11:53:27
G4604801,20.65,0.0,YES,Tools & Machining / Hand Tools / Clamps / C Clamps,Kant-Twist,Z-rCrzncpEx_.JPG,1,0,1,2024-08-26 11:53:33
G9501493,16.85,0.0,YES,Tools & Machining / Hand Tools / Hand Tool Parts / Wrench Parts,Posi Lock,Z1s2qtkcpIx_.JPG,1,0,1,2024-08-26 11:53:37
G4405624,4.95,0.0,YES,Tools & Machining / Hand Tools / Specialty Safety Tools / Hand & Bowl Scoops,Remco,Z_w5wvkcpIx_.JPG,1,0,1,2024-08-26 11:53:44
G5489456,61.65,0.0,YES,Hardware & Building Materials / Door Hardware & Components / Electromagnetic Locking Systems / Electromagnetic Lock Activation Devices,Safety Technology International,Z2q12tpcpEx_.JPG,1,0,1,2024-08-26 11:53:50
G5306506,10.95,0.0,YES,"Tools & Machining / Hand Tools / Knives, Cutters & Snips / Utility Knives",Westward,Z-qMB_qcdKLzEpHv.JPG,1,0,1,2024-08-26 11:53:57
G4409535,28.15,0.0,YES,Hardware & Building Materials / Security Locks / Combination Padlocks,Abus,Z_s8w0mcpEx_.JPG,1,0,1,2024-08-26 11:54:04
G2655601,12.99,0.0,YES,Safety / Personal Protective Equipment (PPE) / Gloves & Hand Protection / Cold Weather Gloves,Caiman,Z3oC5vpcpEx_.JPG,1,0,1,2024-08-26 11:54:10
G5224414,3.35,0.0,YES,"Hardware & Building Materials / Door Hardware & Components / Door Accessories / Door Bottoms, Thresholds & Seals / Door Weatherstripping & Door Seals",Frost King,Z1rNwwhcpEx_.JPG,1,0,1,2024-08-26 11:54:17
